Month,water,carbon,energy,climate,emissions
2015-01-01,52.03,8.12,22.61,5.94,4.49
2015-02-01,52.03,8.12,22.61,5.94,4.49
2015-03-01,52.03,8.12,22.61,5.94,4.49
2015-04-01,52.03,8.12,22.61,5.94,4.49
2015-05-01,52.03,8.12,22.61,5.94,4.49
2015-06-01,52.03,8.12,22.61,5.94,4.49
2015-07-01,52.03,8.12,22.61,5.94,4.49
2015-08-01,55.87,8.12,22.46,6.38,4.49
2015-09-01,58.41,8.12,22.68,6.38,4.49
2015-10-01,61.52,8.12,21.16,6.38,4.49
2015-11-01,68.33,7.25,20.14,5.51,4.49
2015-12-01,67.25,7.25,19.93,5.43,4.49
2016-01-01,62.03,7.68,19.86,5.58,4.49
2016-02-01,56.67,9.06,22.54,6.59,4.49
2016-03-01,52.61,8.77,23.04,6.88,4.49
2016-04-01,50.43,8.12,21.52,6.81,4.49
2016-05-01,54.35,8.12,21.01,6.74,4.49
2016-06-01,58.7,8.12,22.32,6.38,4.49
2016-07-01,60.36,8.12,22.1,6.38,4.49
2016-08-01,61.45,8.12,21.88,6.38,4.49
2016-09-01,65.14,8.12,20.07,6.3,4.49
2016-10-01,75.58,7.25,18.19,5.29,4.49
2016-11-01,70.51,7.25,17.17,4.86,4.49
2016-12-01,66.38,7.46,17.54,5.72,4.49
2017-01-01,61.38,8.12,20.87,6.38,4.49
2017-02-01,54.06,8.12,21.52,6.74,4.49
2017-03-01,52.83,8.12,20.51,6.74,4.49
2017-04-01,57.1,8.12,20.14,6.38,4.49
2017-05-01,57.25,8.91,21.52,6.38,4.49
2017-06-01,65.07,8.19,22.75,6.38,4.49
2017-07-01,66.38,8.12,20.22,7.25,4.49
2017-08-01,70.29,8.04,19.86,7.39,4.49
2017-09-01,74.06,7.17,18.26,7.54,4.49
2017-10-01,73.33,7.25,18.26,5.43,4.49
2017-11-01,66.3,8.04,19.42,5.72,4.49
2017-12-01,62.25,9.06,21.96,6.38,4.49
2018-01-01,59.35,9.06,22.25,6.38,4.49
2018-02-01,58.04,8.48,20.58,6.38,4.49
2018-03-01,65.22,8.12,20.14,6.38,4.49
2018-04-01,63.7,12.25,22.54,6.38,4.49
2018-05-01,67.68,9.2,21.96,6.38,4.49
2018-06-01,66.96,8.91,21.81,6.38,4.49
2018-07-01,73.04,7.9,20.51,6.16,4.49
2018-08-01,78.77,7.25,18.91,5.43,4.49
2018-09-01,76.45,7.25,18.77,5.43,4.49
2018-10-01,66.67,8.26,20.72,5.87,4.49
2018-11-01,63.33,9.06,23.12,6.88,4.49
2018-12-01,59.13,9.06,22.39,7.25,4.49
2019-01-01,59.35,9.06,20.36,6.45,4.49
2019-02-01,62.97,8.19,20.94,6.38,4.49
2019-03-01,64.78,8.99,22.83,7.25,4.49
2019-04-01,62.75,8.33,22.1,7.25,4.49
2019-05-01,69.2,8.77,22.54,7.25,4.49
2019-06-01,74.2,7.75,21.23,6.88,4.49
2019-07-01,78.84,7.25,20.14,5.87,4.49
2019-08-01,74.71,7.25,19.64,6.01,4.49
2019-09-01,66.3,8.41,21.01,8.77,4.49
2019-10-01,62.75,9.06,23.33,7.83,4.49
2019-11-01,59.13,9.06,22.17,7.25,4.49
2019-12-01,57.32,8.19,20.22,6.38,4.49
2020-01-01,62.83,8.19,21.81,7.25,4.49
2020-02-01,63.91,9.06,21.74,7.17,4.49
2020-03-01,63.04,9.35,20.51,6.38,4.49
2020-04-01,71.09,9.78,21.09,6.38,4.49
2020-05-01,77.97,8.77,18.77,6.01,4.49
2020-06-01,79.78,8.12,18.26,5.43,4.49
2020-07-01,75.51,8.12,18.26,5.43,4.49
2020-08-01,72.83,9.42,21.45,7.32,4.49
2020-09-01,64.57,10.0,22.9,6.74,4.49
2020-10-01,57.61,9.2,20.43,6.38,4.49
2020-11-01,59.78,8.19,19.2,5.51,4.49
2020-12-01,66.3,9.06,20.58,6.38,4.49
2021-01-01,75.65,9.06,24.06,6.16,4.49
2021-02-01,70.87,9.06,20.72,5.72,4.49
2021-03-01,76.01,8.77,20.14,6.38,4.49
2021-04-01,82.03,8.12,19.64,5.87,4.49
2021-05-01,84.49,7.61,18.04,5.43,4.49
2021-06-01,77.54,7.9,18.7,5.43,4.49
2021-07-01,70.0,8.91,20.72,6.16,4.49
2021-08-01,63.84,9.06,20.22,6.38,4.49
