cik,gics_sector,year,E_score,G_score
0000001800,Health Care,2015,0.057555555555555554,0.16518518518518518
0000001800,Health Care,2016,0.0583666745116498,0.14102141680395386
0000001800,Health Care,2017,0.05311113515853262,0.1813440103884861
0000001800,Health Care,2018,0.057062243502051975,0.14913360693114455
0000001800,Health Care,2019,0.06030819519028718,0.16026149894933459
0000001800,Health Care,2020,0.062174695350357065,0.1786495791889824
0000001800,Health Care,2021,0.050297566344625164,0.16337131492054094
0000001800,Health Care,2022,0.06451457756221272,0.19250155392172486
0000001800,Health Care,2023,0.06525330312391023,0.19892987658295108
0000001800,Health Care,2024,0.06550706544847015,0.21731395069182474
0000001800,Health Care,2025,,
0000002488,Information Technology,2015,0.06880206919945725,0.11584488600346811
0000002488,Information Technology,2016,0.07418915692910227,0.13059397495972916
0000002488,Information Technology,2017,0.07471744737157894,0.1428840662678922
0000002488,Information Technology,2018,0.06526411317707782,0.14618751093492263
0000002488,Information Technology,2019,0.08483875382470915,0.15621591268562962
0000002488,Information Technology,2020,0.08235225972607607,0.15475062566782777
0000002488,Information Technology,2021,0.06810445066564078,0.14647665155631703
0000002488,Information Technology,2022,0.08111810217977183,0.18264293886905508
0000002488,Information Technology,2023,0.07999010062157275,0.18693519806483935
0000002488,Information Technology,2024,0.13045643832827397,0.20736484335463407
0000002488,Information Technology,2025,,
0000002969,Materials,2015,0.2314074393734911,0.3248188327097414
0000002969,Materials,2016,0.24080182319116383,0.37452874491934524
0000002969,Materials,2017,0.24368515271832866,0.3377781453494446
0000002969,Materials,2018,0.24447161501864473,0.28260247453316767
0000002969,Materials,2019,0.2790643892794028,0.2788854226382897
0000002969,Materials,2020,0.32875099829417365,0.25319612899720306
0000002969,Materials,2021,0.266825124210268,0.22745788096260405
0000002969,Materials,2022,0.3731828374433194,0.2685642265899104
0000002969,Materials,2023,0.4393599496243941,0.28513809413237934
0000002969,Materials,2024,0.39181181642758994,0.34367513805708955
0000004127,Information Technology,2015,0.09637128852690292,0.166435257610963
0000004127,Information Technology,2016,0.09436365895631707,0.1690576869490845
0000004127,Information Technology,2017,0.08681019012061865,0.16925197111823417
0000004127,Information Technology,2018,0.0857811202878909,0.1538510361904619
0000004127,Information Technology,2019,0.08284340835487912,0.14612581645286923
0000004127,Information Technology,2020,0.05701268053437023,0.1425519762123346
0000004127,Information Technology,2021,0.06705677737522883,0.12281163422077034
0000004127,Information Technology,2022,0.08373459274427776,0.14529760522651647
0000004127,Information Technology,2023,0.11187253240936058,0.15239983395699377
0000004127,Information Technology,2024,0.11044568614524099,0.16054473447720957
0000004281,Industrials,2021,0.05005901099718655,0.19087689315435385
0000004281,Industrials,2022,0.07661839460465383,0.25429224007041046
0000004281,Industrials,2023,0.11851889636532727,0.26255346737695295
0000004281,Industrials,2024,0.12877396131350216,0.3020540974360215
0000004281,Industrials,2025,,
0000004904,Utilities,2015,0.33659371269670985,0.09612259483155194
0000004904,Utilities,2016,0.3246826707821343,0.10762457206353084
0000004904,Utilities,2017,0.33995644031574807,0.09711763213824982
0000004904,Utilities,2018,0.3575760185425963,0.08510924611920535
0000004904,Utilities,2019,0.411211645539628,0.09106351146440027
0000004904,Utilities,2020,0.39669185764536036,0.09461192683416375
0000004904,Utilities,2021,0.3529455579623286,0.10699551716349492
0000004904,Utilities,2022,0.42466435801968166,0.13484017760505398
0000004904,Utilities,2023,0.4648381996567734,0.15962377030864464
0000004904,Utilities,2024,0.3954384576448694,0.16408895423971578
0000004904,Utilities,2025,,
0000004962,Financials,2015,0.003523418491465671,0.244705559662687
0000004962,Financials,2016,0.0024727677288269227,0.2602681869282816
0000004962,Financials,2017,0.0025147992014204045,0.29856538770437924
0000004962,Financials,2018,0.002708585615172062,0.28176724561814237
0000004962,Financials,2019,0.0030530204731398242,0.281031455369276
0000004962,Financials,2020,0.0038876429692756226,0.29446200082892926
0000004962,Financials,2021,0.004526504683630621,0.28608717654236804
0000004962,Financials,2022,0.030779590005605272,0.34265361983379616
0000004962,Financials,2023,0.0366477957146612,0.36726178653943575
0000004962,Financials,2024,0.035943732752518325,0.3662890432174777
0000004962,Financials,2025,,
0000004977,Financials,2015,0.003130012408689895,0.13869492239415965
0000004977,Financials,2016,0.0030121340515887455,0.12081230239521186
0000004977,Financials,2017,0.0034415884353303436,0.09961958825289523
0000004977,Financials,2018,0.0029411579162182916,0.09094791927752027
0000004977,Financials,2019,0.0030561070677329687,0.1330135351616153
0000004977,Financials,2020,0.004198771052986218,0.11445136696098826
0000004977,Financials,2021,0.008314180680112587,0.11979853577942133
0000004977,Financials,2022,0.010555562571299,0.13905720180076003
0000004977,Financials,2023,0.010797696674664684,0.1544288567548805
0000004977,Financials,2024,0.011321057190182796,0.17600042085359785
0000004977,Financials,2025,,
0000005272,Financials,2015,0.026253974968751856,0.11763827494646656
0000005272,Financials,2016,0.025347263008735518,0.12320544371091147
0000005272,Financials,2017,0.018866751555212953,0.13450225388107126
0000005272,Financials,2018,0.014780945477973744,0.17283612283032262
0000005272,Financials,2019,0.014472652071596662,0.20187985972081784
0000005272,Financials,2020,0.021091373646429008,0.19776592420634967
0000005272,Financials,2021,0.01763416834958965,0.19347176962967155
0000005272,Financials,2022,0.05949537702943811,0.24278475224751064
0000005272,Financials,2023,0.07533696556622127,0.27263610076325645
0000005272,Financials,2024,0.08346347659073541,0.27861482513655506
0000005272,Financials,2025,,
0000006281,Information Technology,2015,0.07554037312279777,0.15005528063459467
0000006281,Information Technology,2016,0.07816964206270186,0.12596838725004234
0000006281,Information Technology,2017,0.08378373992646948,0.15505762484191574
0000006281,Information Technology,2018,0.10640304949094276,0.15121143030897544
0000006281,Information Technology,2019,0.1235752602231692,0.1566095325805963
0000006281,Information Technology,2020,0.12266416655025031,0.1486174407935898
0000006281,Information Technology,2021,0.11650226055523905,0.1653187549195835
0000006281,Information Technology,2022,0.17016085413635348,0.27797499532473696
0000006281,Information Technology,2023,0.17397561364221062,0.26533269406179105
0000006281,Information Technology,2024,0.15978772905674432,0.2625986311746143
0000006951,Information Technology,2015,0.20752759968190906,0.12128679029271204
0000006951,Information Technology,2016,0.08063559808725185,0.11544689884791474
0000006951,Information Technology,2017,0.0769616755851942,0.13499940708810568
0000006951,Information Technology,2018,0.07543176772090182,0.1334607244444387
0000006951,Information Technology,2019,0.0835315661920939,0.1299913405083407
0000006951,Information Technology,2020,0.0628720014453071,0.16382408799631984
0000006951,Information Technology,2021,0.06173254928477658,0.1703349570261907
0000006951,Information Technology,2022,0.09431542026124996,0.22768113309613333
0000006951,Information Technology,2023,0.09905020790569583,0.250287413276388
0000006951,Information Technology,2024,0.07815749083405141,0.29339056577925937
0000007084,Consumer Staples,2015,0.15517342337602333,0.18871299740910283
0000007084,Consumer Staples,2016,0.15836514537465665,0.201495509061285
0000007084,Consumer Staples,2017,0.12858019105629376,0.2552746746516181
0000007084,Consumer Staples,2018,0.12427187617128742,0.28123295137428334
0000007084,Consumer Staples,2019,0.1374279943090647,0.31645728497655046
0000007084,Consumer Staples,2020,0.12109148718873325,0.2988163174769615
0000007084,Consumer Staples,2021,0.16864144939546855,0.2602099030684623
0000007084,Consumer Staples,2022,0.33687335636959526,0.3564614757794444
0000007084,Consumer Staples,2023,0.3398998969135577,0.3586793823053413
0000007084,Consumer Staples,2024,0.34892614356385687,0.46279246472686886
0000007084,Consumer Staples,2025,,
0000008670,Industrials,2015,0.0,0.3159482927159695
0000008670,Industrials,2016,0.0,0.33508992092393486
0000008670,Industrials,2017,0.0,0.3515865093149588
0000008670,Industrials,2018,0.0,0.40910257564601293
0000008670,Industrials,2019,0.0,0.3765082606903534
0000008670,Industrials,2020,0.0,0.3576826888748359
0000008670,Industrials,2021,0.0029526029526029526,0.3490470100272664
0000008670,Industrials,2022,0.0035935171385991058,0.392277209496531
0000008670,Industrials,2023,0.026013623094388583,0.35616384249625344
0000008670,Industrials,2024,0.02184214559386973,0.3747886981619322
0000008670,Industrials,2025,,
0000008818,Materials,2015,0.08577526330321632,0.2573215875116004
0000008818,Materials,2016,0.08198183517587977,0.2160641770372108
0000008818,Materials,2017,0.09770199602854102,0.25203194874324464
0000008818,Materials,2018,0.0919740015855343,0.246107587881793
0000008818,Materials,2019,0.10800294538371805,0.23077197557126192
0000008818,Materials,2020,0.13814054441666843,0.2587722267277431
0000008818,Materials,2021,0.11347677326019547,0.18554525906572963
0000008818,Materials,2022,0.15056655703890448,0.22209826772856625
0000008818,Materials,2023,0.16587730505795575,0.22065364857744996
0000008818,Materials,2024,0.19068540102885054,0.25628807355890854
0000008818,Materials,2025,,
0000009389,Materials,2023,0.21987468040415553,0.326830552109345
0000009389,Materials,2024,0.22262353777985633,0.3410871924110831
0000009389,Materials,2025,,
0000010456,Health Care,2015,0.019274418604651164,0.21820571204407263
0000010456,Health Care,2016,0.018618618618618618,0.1935135983560902
0000010456,Health Care,2017,0.02006131207847946,0.2015482110584072
0000010456,Health Care,2018,0.02698318314256769,0.22139016585265145
0000010456,Health Care,2019,0.030057701953178154,0.22532994685010005
0000010456,Health Care,2020,0.04143882637570733,0.31775856064244656
0000010456,Health Care,2021,0.03885878476625808,0.20241048265959302
0000010456,Health Care,2022,0.06470953268038294,0.18874962252885671
0000010456,Health Care,2023,0.055641534877354064,0.17913961749905807
0000010456,Health Care,2024,0.056086663084303226,0.2183718129451154
0000010456,Health Care,2025,,
0000010795,Health Care,2015,0.014140127388535031,0.22295107092843913
0000010795,Health Care,2016,0.023525585429314832,0.2345610899961221
0000010795,Health Care,2017,0.014470558503917107,0.21158346600309666
0000010795,Health Care,2018,0.020098950266735503,0.21300048337380204
0000010795,Health Care,2019,0.033849308714362834,0.2345507998653504
0000010795,Health Care,2020,0.03428400148307813,0.2134879883304002
0000010795,Health Care,2021,0.07751158013327122,0.1954511651892828
0000010795,Health Care,2022,0.12185320112495307,0.23529746708022242
0000010795,Health Care,2023,0.14562070445984693,0.27405407822179345
0000010795,Health Care,2024,0.1587525373235796,0.2722040095340003
0000011544,Financials,2015,0.02616613591090358,0.11544327071355935
0000011544,Financials,2016,0.02496347561754422,0.10743827409611117
0000011544,Financials,2017,0.02326858707858247,0.10830208997046513
0000011544,Financials,2018,0.025419917764250812,0.11736287890390872
0000011544,Financials,2019,0.0280802947780653,0.13951275232976168
0000011544,Financials,2020,0.025927037326392295,0.13485410606018966
0000011544,Financials,2021,0.028157275282235928,0.14923803595505264
0000011544,Financials,2022,0.0601459710413244,0.19907789106668478
0000011544,Financials,2023,0.0652715813193924,0.21415946896854818
0000011544,Financials,2024,0.07185905822458664,0.22264341446897656
0000011544,Financials,2025,,
0000012927,Industrials,2015,0.12975244329706803,0.2741654812395177
0000012927,Industrials,2016,0.1306910193984584,0.26536007092202746
0000012927,Industrials,2017,0.13217368612541336,0.2856341854301137
0000012927,Industrials,2018,0.1381606827594554,0.2881058781968515
0000012927,Industrials,2019,0.16434995514976136,0.27712720646493477
0000012927,Industrials,2020,0.14715546827986392,0.2876683066733176
0000012927,Industrials,2021,0.09827730452859446,0.225213569617338
0000012927,Industrials,2022,0.1797685197270865,0.26814972340753024
