Time,corporate fraud,governance scandal,accounting scandal,audit failure,financial misconduct,SEC investigation,restatement,internal control weakness
01/01/2015,13,0,9,7,0,9,61,2
01/02/2015,15,0,12,9,0,7,67,2
01/03/2015,14,0,11,10,0,9,64,2
01/04/2015,15,0,12,11,2,11,73,3
01/05/2015,12,0,10,7,0,9,55,2
01/06/2015,12,2,7,10,0,11,51,0
01/07/2015,10,0,16,8,2,12,45,2
01/08/2015,12,0,12,8,2,11,58,0
01/09/2015,13,0,19,10,0,11,95,2
01/10/2015,13,0,18,10,2,12,100,3
01/11/2015,14,0,16,9,0,12,94,5
01/12/2015,13,0,13,9,0,10,85,2
01/01/2016,11,0,9,5,1,8,53,2
01/02/2016,17,0,15,8,0,16,78,2
01/03/2016,14,0,15,8,3,15,67,4
01/04/2016,16,0,14,8,2,13,81,3
01/05/2016,12,0,10,7,1,13,54,2
01/06/2016,13,0,7,6,1,13,38,2
01/07/2016,11,0,8,5,0,12,34,2
01/08/2016,11,0,9,8,0,10,55,0
01/09/2016,14,1,13,6,2,12,86,2
01/10/2016,12,0,14,7,1,11,90,4
01/11/2016,15,0,14,8,1,9,81,6
01/12/2016,13,0,12,6,0,9,79,1
01/01/2017,12,0,10,7,1,10,51,1
01/02/2017,15,1,12,8,3,10,70,3
01/03/2017,13,0,13,9,2,10,65,4
01/04/2017,16,1,14,9,1,11,70,3
01/05/2017,13,0,8,7,2,11,56,2
01/06/2017,11,0,7,7,1,8,38,2
01/07/2017,9,0,6,6,0,9,29,2
01/08/2017,9,0,7,5,0,9,47,1
01/09/2017,15,0,13,6,1,10,70,3
01/10/2017,16,0,15,6,1,10,79,4
01/11/2017,12,0,12,6,2,9,80,4
01/12/2017,12,0,7,6,2,8,72,1
01/01/2018,11,0,10,7,2,13,47,0
01/02/2018,13,0,10,7,3,10,55,3
01/03/2018,13,0,9,6,2,13,53,4
01/04/2018,13,0,12,8,1,9,68,3
01/05/2018,13,0,8,7,1,10,48,2
01/06/2018,9,0,6,6,1,8,33,2
01/07/2018,9,0,5,5,0,10,30,1
01/08/2018,10,0,7,6,2,14,45,0
01/09/2018,12,0,9,7,1,12,83,2
01/10/2018,13,0,9,7,0,11,86,6
01/11/2018,11,0,8,6,3,10,80,3
01/12/2018,9,0,7,6,1,9,68,2
01/01/2019,10,0,7,5,1,6,47,2
01/02/2019,15,0,7,7,2,15,63,2
01/03/2019,13,0,9,6,1,12,51,3
01/04/2019,12,0,9,7,2,8,61,4
01/05/2019,11,0,7,5,2,7,43,0
01/06/2019,10,0,5,5,2,9,33,1
01/07/2019,9,0,3,4,3,6,29,0
01/08/2019,9,0,17,4,1,8,42,0
01/09/2019,12,0,10,5,2,7,80,2
01/10/2019,13,0,10,6,2,9,70,4
01/11/2019,11,0,11,6,1,10,69,3
01/12/2019,10,0,6,5,1,9,66,2
01/01/2020,12,0,7,5,2,8,48,0
01/02/2020,12,0,9,6,2,10,57,3
01/03/2020,11,0,6,5,1,7,44,2
01/04/2020,13,0,8,7,2,6,47,4
01/05/2020,10,0,5,5,2,9,35,2
01/06/2020,10,0,6,6,2,8,27,2
01/07/2020,11,0,6,4,0,9,29,1
01/08/2020,11,0,5,4,2,13,43,1
01/09/2020,14,0,9,6,2,18,70,2
01/10/2020,11,0,9,6,2,8,61,4
01/11/2020,12,0,6,4,3,7,47,4
01/12/2020,11,0,4,5,2,9,43,2
01/01/2021,9,0,4,4,1,18,36,0
01/02/2021,12,0,7,4,2,17,43,2
01/03/2021,12,0,6,5,2,10,42,4
01/04/2021,11,0,6,5,2,10,44,2
01/05/2021,10,0,6,5,2,9,37,2
01/06/2021,7,0,4,4,0,14,29,1
01/07/2021,9,0,4,4,1,10,26,1
01/08/2021,8,0,3,5,1,9,38,1
01/09/2021,12,0,8,6,2,13,65,2
01/10/2021,13,0,6,6,2,11,62,3
01/11/2021,13,0,6,5,1,11,61,3
01/12/2021,10,0,3,5,1,14,55,2
01/01/2022,13,0,7,4,3,8,44,1
01/02/2022,17,0,10,6,3,13,61,4
01/03/2022,16,0,7,9,3,12,60,6
01/04/2022,18,1,11,8,3,11,71,5
01/05/2022,15,0,6,6,3,9,60,3
01/06/2022,11,0,6,5,1,8,37,2
01/07/2022,11,0,5,5,2,9,36,2
01/08/2022,12,0,5,6,3,9,50,2
01/09/2022,15,0,12,7,3,9,80,2
01/10/2022,15,1,8,6,3,11,77,4
01/11/2022,17,2,9,8,3,11,78,4
01/12/2022,14,0,6,7,2,9,63,3
01/01/2023,14,0,7,5,3,7,52,2
01/02/2023,18,0,8,8,4,18,64,5
01/03/2023,16,0,9,7,3,11,57,5
01/04/2023,16,0,10,8,3,8,63,4
01/05/2023,12,0,6,7,3,10,49,1
01/06/2023,11,0,5,5,3,11,35,2
01/07/2023,12,0,3,5,2,9,26,3
01/08/2023,11,0,6,6,2,10,47,2
01/09/2023,17,0,7,7,5,9,84,3
01/10/2023,18,0,10,7,5,12,82,5
01/11/2023,17,0,6,6,5,11,82,4
01/12/2023,13,0,6,5,3,7,66,3
01/01/2024,13,0,9,6,3,9,58,2
01/02/2024,21,0,11,8,5,11,69,5
01/03/2024,16,0,12,8,4,8,58,4
01/04/2024,17,1,14,10,6,10,71,5
01/05/2024,14,0,13,5,6,9,46,2
01/06/2024,15,0,11,7,5,9,35,2
01/07/2024,11,0,8,5,6,10,32,3
01/08/2024,10,0,8,5,5,10,52,0
01/09/2024,19,0,11,9,7,11,92,4
01/10/2024,19,0,10,9,5,8,94,6
01/11/2024,17,0,11,12,4,9,94,6
01/12/2024,17,0,8,9,3,10,79,4
